wwtp,prevind,fit,lag,aic
comb,test positivity rate,orig-only_flow_norm,-9,261.52900840683645
comb,test positivity rate,only_flow_norm,-9,-22.471426622494278
comb,hospital admissions,orig-only_flow_norm,-9,269.52265041563925
comb,hospital admissions,only_flow_norm,-9,-97.90442434889894
comb,Cook County beds in use,orig-only_flow_norm,-9,258.5575381922988
comb,Cook County beds in use,only_flow_norm,-9,-83.07998145815088
comb,positive tests,orig-pmmov_norm,-9,242.29736386378778
comb,positive tests,pmmov_norm,-9,75.88851626161579
comb,test positivity rate,orig-pmmov_norm,-9,229.38116036466994
comb,test positivity rate,pmmov_norm,-9,-21.909188895693546
comb,hospital admissions,orig-pmmov_norm,-9,260.26395207147823
comb,hospital admissions,pmmov_norm,-9,-64.99588945063499
comb,Cook County beds in use,orig-pmmov_norm,-9,241.99224983500488
comb,Cook County beds in use,pmmov_norm,-9,-65.8502532288129
comb,positive tests,orig-only_bcov_norm,-9,150.49357754895777
comb,positive tests,only_bcov_norm,-9,51.67805427271537
comb,test positivity rate,orig-only_bcov_norm,-9,143.541051894414
comb,test positivity rate,only_bcov_norm,-9,-39.651015649813985
comb,hospital admissions,orig-only_bcov_norm,-9,149.19602386646545
comb,hospital admissions,only_bcov_norm,-9,-98.38241156586582
comb,Cook County beds in use,orig-only_bcov_norm,-9,143.88692790131876
comb,Cook County beds in use,only_bcov_norm,-9,-90.7490234737985
comb,positive tests,orig-bcov_flow_norm,-9,182.8078804082856
comb,positive tests,bcov_flow_norm,-9,36.69819471847018
comb,test positivity rate,orig-bcov_flow_norm,-9,164.52103792953847
comb,test positivity rate,bcov_flow_norm,-9,-54.59491324792532
comb,hospital admissions,orig-bcov_flow_norm,-9,170.38742158014702
comb,hospital admissions,bcov_flow_norm,-9,-127.9611136841337
comb,Cook County beds in use,orig-bcov_flow_norm,-9,163.5328877162226
comb,Cook County beds in use,bcov_flow_norm,-9,-112.59140336071266
comb,positive tests,orig-pmmov_bcov_norm,-9,389.5302441995894
comb,positive tests,pmmov_bcov_norm,-9,52.759580424416754
comb,test positivity rate,orig-pmmov_bcov_norm,-9,377.97477428150705
comb,test positivity rate,pmmov_bcov_norm,-9,-40.56605241172599
comb,hospital admissions,orig-pmmov_bcov_norm,-9,392.03428591204704
comb,hospital admissions,pmmov_bcov_norm,-9,-97.17820154367826
comb,Cook County beds in use,orig-pmmov_bcov_norm,-9,385.8907495333774
comb,Cook County beds in use,pmmov_bcov_norm,-9,-89.02550429727171
comb,positive tests,orig-pmmov_bcov_flow_norm,-9,410.82354252618984
comb,positive tests,pmmov_bcov_flow_norm,-9,33.93292091162425
comb,test positivity rate,orig-pmmov_bcov_flow_norm,-9,395.891613896265
comb,test positivity rate,pmmov_bcov_flow_norm,-9,-61.60153849247456
comb,hospital admissions,orig-pmmov_bcov_flow_norm,-9,409.1458365389177
comb,hospital admissions,pmmov_bcov_flow_norm,-9,-126.31065427449221
comb,Cook County beds in use,orig-pmmov_bcov_flow_norm,-9,402.7601679410794
comb,Cook County beds in use,pmmov_bcov_flow_norm,-9,-114.37539031002063
comb,positive tests,orig-raw_data,-8,235.90195701911063
comb,positive tests,raw_data,-8,90.1516263094677
comb,test positivity rate,orig-raw_data,-8,240.96718167616223
comb,test positivity rate,raw_data,-8,-15.665316174843383
comb,hospital admissions,orig-raw_data,-8,248.5939616963833
comb,hospital admissions,raw_data,-8,-59.59908980994544
comb,Cook County beds in use,orig-raw_data,-8,237.32119629768818
comb,Cook County beds in use,raw_data,-8,-54.3024859912631
comb,positive tests,orig-only_flow_norm,-8,263.881998889251
comb,positive tests,only_flow_norm,-8,69.62059598261249
comb,test positivity rate,orig-only_flow_norm,-8,260.39512605029034
comb,test positivity rate,only_flow_norm,-8,-37.408812555028476
comb,hospital admissions,orig-only_flow_norm,-8,269.8251618513201
comb,hospital admissions,only_flow_norm,-8,-99.53315101982082
comb,Cook County beds in use,orig-only_flow_norm,-8,258.0363867067666
comb,Cook County beds in use,only_flow_norm,-8,-85.22465661674482
comb,positive tests,orig-pmmov_norm,-8,233.48242710439558
comb,positive tests,pmmov_norm,-8,67.51387322594303
comb,test positivity rate,orig-pmmov_norm,-8,223.92370739929402
comb,test positivity rate,pmmov_norm,-8,-43.19953989522901
comb,hospital admissions,orig-pmmov_norm,-8,258.60739434505683
comb,hospital admissions,pmmov_norm,-8,-67.31324753099466
comb,Cook County beds in use,orig-pmmov_norm,-8,238.8888438242996
comb,Cook County beds in use,pmmov_norm,-8,-70.29236837815358
comb,positive tests,orig-only_bcov_norm,-8,149.4237801361216
comb,positive tests,only_bcov_norm,-8,47.50109759970974
comb,test positivity rate,orig-only_bcov_norm,-8,141.15185864109378
comb,test positivity rate,only_bcov_norm,-8,-58.615374769959544
comb,hospital admissions,orig-only_bcov_norm,-8,149.42077650564005
comb,hospital admissions,only_bcov_norm,-8,-99.85569699011057
comb,Cook County beds in use,orig-only_bcov_norm,-8,139.92241749882197
comb,Cook County beds in use,only_bcov_norm,-8,-96.4482206067637
comb,positive tests,orig-bcov_flow_norm,-8,178.69052431767443
comb,positive tests,bcov_flow_norm,-8,35.578644275727584
comb,test positivity rate,orig-bcov_flow_norm,-8,159.0534226125166
comb,test positivity rate,bcov_flow_norm,-8,-71.57317659843432
comb,hospital admissions,orig-bcov_flow_norm,-8,170.49102998099045
comb,hospital admissions,bcov_flow_norm,-8,-129.6306485823144
comb,Cook County beds in use,orig-bcov_flow_norm,-8,159.44559439724526
comb,Cook County beds in use,bcov_flow_norm,-8,-117.69889019222296
comb,positive tests,orig-pmmov_bcov_norm,-8,384.2520560410117
comb,positive tests,pmmov_bcov_norm,-8,47.11037829601128
comb,test positivity rate,orig-pmmov_bcov_norm,-8,373.7475386629285
comb,test positivity rate,pmmov_bcov_norm,-8,-61.11999389118387
comb,hospital admissions,orig-pmmov_bcov_norm,-8,390.97865896652206
comb,hospital admissions,pmmov_bcov_norm,-8,-98.34761663297502
comb,Cook County beds in use,orig-pmmov_bcov_norm,-8,383.04541649838166
comb,Cook County beds in use,pmmov_bcov_norm,-8,-94.87699219713647
comb,positive tests,orig-pmmov_bcov_flow_norm,-8,404.86108352875266
comb,positive tests,pmmov_bcov_flow_norm,-8,30.28957325293311
comb,test positivity rate,orig-pmmov_bcov_flow_norm,-8,390.81643160733387
comb,test positivity rate,pmmov_bcov_flow_norm,-8,-80.95343216861158
comb,hospital admissions,orig-pmmov_bcov_flow_norm,-8,408.13309727878493
comb,hospital admissions,pmmov_bcov_flow_norm,-8,-128.2836615548963
comb,Cook County beds in use,orig-pmmov_bcov_flow_norm,-8,399.9657179767353
comb,Cook County beds in use,pmmov_bcov_flow_norm,-8,-119.97903406935689
comb,positive tests,orig-raw_data,-7,234.92349332461237
comb,positive tests,raw_data,-7,87.75515614076187
comb,test positivity rate,orig-raw_data,-7,244.2760205595643
comb,test positivity rate,raw_data,-7,-21.440418592812193
comb,hospital admissions,orig-raw_data,-7,248.1288685840767
comb,hospital admissions,raw_data,-7,-56.75166147501625
comb,Cook County beds in use,orig-raw_data,-7,237.71532047042274
comb,Cook County beds in use,raw_data,-7,-56.682580910288266
comb,positive tests,orig-only_flow_norm,-7,262.72371032830125
comb,positive tests,only_flow_norm,-7,67.4905701977201
comb,test positivity rate,orig-only_flow_norm,-7,261.15565373634547
comb,test positivity rate,only_flow_norm,-7,-39.19071247446129
comb,hospital admissions,orig-only_flow_norm,-7,268.9641686294369
comb,hospital admissions,only_flow_norm,-7,-94.17191335188397
comb,Cook County beds in use,orig-only_flow_norm,-7,258.0990702189557
comb,Cook County beds in use,only_flow_norm,-7,-87.23502266829234
comb,positive tests,orig-pmmov_norm,-7,223.752093288953
comb,positive tests,pmmov_norm,-7,59.96055620479308
comb,test positivity rate,orig-pmmov_norm,-7,218.4849919398099
comb,test positivity rate,pmmov_norm,-7,-54.663884625191145
comb,hospital admissions,orig-pmmov_norm,-7,255.05666373541675
comb,hospital admissions,pmmov_norm,-7,-66.2566833849794
comb,Cook County beds in use,orig-pmmov_norm,-7,236.14297725438132
comb,Cook County beds in use,pmmov_norm,-7,-74.61389096386483
comb,positive tests,orig-only_bcov_norm,-7,139.7858813869533
comb,positive tests,only_bcov_norm,-7,39.47134595830232
comb,test positivity rate,orig-only_bcov_norm,-7,144.83293446319135
comb,test positivity rate,only_bcov_norm,-7,-63.03313066459384
comb,hospital admissions,orig-only_bcov_norm,-7,146.67715303993572
comb,hospital admissions,only_bcov_norm,-7,-99.04005046439352
comb,Cook County beds in use,orig-only_bcov_norm,-7,136.80340180490538
comb,Cook County beds in use,only_bcov_norm,-7,-101.69096676217669
comb,positive tests,orig-bcov_flow_norm,-7,169.80918899658718
comb,positive tests,bcov_flow_norm,-7,28.09305861792211
comb,test positivity rate,orig-bcov_flow_norm,-7,158.87232799973623
comb,test positivity rate,bcov_flow_norm,-7,-72.6452944389822
comb,hospital admissions,orig-bcov_flow_norm,-7,167.30592593073038
comb,hospital admissions,bcov_flow_norm,-7,-126.33568831601667
comb,Cook County beds in use,orig-bcov_flow_norm,-7,156.12105815119992
comb,Cook County beds in use,bcov_flow_norm,-7,-122.44608860495055
comb,positive tests,orig-pmmov_bcov_norm,-7,376.4573216926929
comb,positive tests,pmmov_bcov_norm,-7,37.816215604736385
comb,test positivity rate,orig-pmmov_bcov_norm,-7,370.441892745541
comb,test positivity rate,pmmov_bcov_norm,-7,-68.90988158346852
comb,hospital admissions,orig-pmmov_bcov_norm,-7,388.33067792604
comb,hospital admissions,pmmov_bcov_norm,-7,-97.2419523790013
comb,Cook County beds in use,orig-pmmov_bcov_norm,-7,380.3432071712559
comb,Cook County beds in use,pmmov_bcov_norm,-7,-100.3320406837995
comb,positive tests,orig-pmmov_bcov_flow_norm,-7,397.6009050496525
comb,positive tests,pmmov_bcov_flow_norm,-7,20.645579501061775
comb,test positivity rate,orig-pmmov_bcov_flow_norm,-7,386.4516620767748
comb,test positivity rate,pmmov_bcov_flow_norm,-7,-86.3666840141608
comb,hospital admissions,orig-pmmov_bcov_flow_norm,-7,405.4431428176347
comb,hospital admissions,pmmov_bcov_flow_norm,-7,-125.38430295786259
comb,Cook County beds in use,orig-pmmov_bcov_flow_norm,-7,397.3018071999849
comb,Cook County beds in use,pmmov_bcov_flow_norm,-7,-125.34727202115596
comb,positive tests,orig-raw_data,-6,238.36654980029675
comb,positive tests,raw_data,-6,88.76767955732521
comb,test positivity rate,orig-raw_data,-6,245.41292984103637
comb,test positivity rate,raw_data,-6,-20.510775738137568
comb,hospital admissions,orig-raw_data,-6,249.52285324021477
comb,hospital admissions,raw_data,-6,-56.587652527315754
comb,Cook County beds in use,orig-raw_data,-6,237.7116401587017
comb,Cook County beds in use,raw_data,-6,-59.85408945601307
comb,positive tests,orig-only_flow_norm,-6,264.21665208689905
comb,positive tests,only_flow_norm,-6,71.05310761948965
comb,test positivity rate,orig-only_flow_norm,-6,262.4973221353097
comb,test positivity rate,only_flow_norm,-6,-38.93790820027277
comb,hospital admissions,orig-only_flow_norm,-6,270.23965789097355
comb,hospital admissions,only_flow_norm,-6,-94.29197387384909
comb,Cook County beds in use,orig-only_flow_norm,-6,257.7099185176685
comb,Cook County beds in use,only_flow_norm,-6,-89.83717592287985
comb,positive tests,orig-pmmov_norm,-6,219.0925522196652
comb,positive tests,pmmov_norm,-6,57.27193106181585
comb,test positivity rate,orig-pmmov_norm,-6,212.98468063389174
comb,test positivity rate,pmmov_norm,-6,-58.8232328179472
comb,hospital admissions,orig-pmmov_norm,-6,249.96353940080138
comb,hospital admissions,pmmov_norm,-6,-69.44769732963368
comb,Cook County beds in use,orig-pmmov_norm,-6,232.94039925159694
comb,Cook County beds in use,pmmov_norm,-6,-80.02895689671539
comb,positive tests,orig-only_bcov_norm,-6,139.64695218879075
comb,positive tests,only_bcov_norm,-6,39.34095229066759
comb,test positivity rate,orig-only_bcov_norm,-6,137.98824711335448
comb,test positivity rate,only_bcov_norm,-6,-68.15142355436308
comb,hospital admissions,orig-only_bcov_norm,-6,141.93505946869374
comb,hospital admissions,only_bcov_norm,-6,-103.8663293230644
comb,Cook County beds in use,orig-only_bcov_norm,-6,133.10818009839528
comb,Cook County beds in use,only_bcov_norm,-6,-108.15149008585388
comb,positive tests,orig-bcov_flow_norm,-6,167.30156241056943
comb,positive tests,bcov_flow_norm,-6,30.192418580535787
comb,test positivity rate,orig-bcov_flow_norm,-6,152.91792307721425
comb,test positivity rate,bcov_flow_norm,-6,-77.99301905888649
comb,hospital admissions,orig-bcov_flow_norm,-6,162.9931087288906
comb,hospital admissions,bcov_flow_norm,-6,-131.20684311990544
comb,Cook County beds in use,orig-bcov_flow_norm,-6,152.11566646072635
comb,Cook County beds in use,bcov_flow_norm,-6,-128.22095433677828
comb,positive tests,orig-pmmov_bcov_norm,-6,372.19198120051556
comb,positive tests,pmmov_bcov_norm,-6,36.16229141359122
comb,test positivity rate,orig-pmmov_bcov_norm,-6,364.4954281228245
comb,test positivity rate,pmmov_bcov_norm,-6,-75.45507700791245
comb,hospital admissions,orig-pmmov_bcov_norm,-6,383.1505215466397
comb,hospital admissions,pmmov_bcov_norm,-6,-101.87536567500331
comb,Cook County beds in use,orig-pmmov_bcov_norm,-6,377.4201421864563
comb,Cook County beds in use,pmmov_bcov_norm,-6,-107.07394997064057
comb,positive tests,orig-pmmov_bcov_flow_norm,-6,392.84838597650486
comb,positive tests,pmmov_bcov_flow_norm,-6,20.8747335015139
comb,test positivity rate,orig-pmmov_bcov_flow_norm,-6,381.08951337420353
comb,test positivity rate,pmmov_bcov_flow_norm,-6,-93.99748152912719
comb,hospital admissions,orig-pmmov_bcov_flow_norm,-6,400.6508693537293
comb,hospital admissions,pmmov_bcov_flow_norm,-6,-131.22054296446777
comb,Cook County beds in use,orig-pmmov_bcov_flow_norm,-6,394.3834949635667
comb,Cook County beds in use,pmmov_bcov_flow_norm,-6,-131.82591427604336
comb,positive tests,orig-raw_data,-5,238.29241015880535
comb,positive tests,raw_data,-5,88.58016572972815
comb,test positivity rate,orig-raw_data,-5,249.93982462359293
comb,test positivity rate,raw_data,-5,-16.302474299641403
comb,hospital admissions,orig-raw_data,-5,252.22971479792943
comb,hospital admissions,raw_data,-5,-54.028617921781574
comb,Cook County beds in use,orig-raw_data,-5,237.9552664966759
comb,Cook County beds in use,raw_data,-5,-62.694815814077515
comb,positive tests,orig-only_flow_norm,-5,263.0900056614893
comb,positive tests,only_flow_norm,-5,72.65514927494542
comb,test positivity rate,orig-only_flow_norm,-5,265.39044343685475
comb,test positivity rate,only_flow_norm,-5,-31.9230762103208
comb,hospital admissions,orig-only_flow_norm,-5,271.91393349411794
comb,hospital admissions,only_flow_norm,-5,-88.74435833182326
comb,Cook County beds in use,orig-only_flow_norm,-5,257.5040087903926
comb,Cook County beds in use,only_flow_norm,-5,-91.94777071551471
comb,positive tests,orig-pmmov_norm,-5,212.76904182812183
comb,positive tests,pmmov_norm,-5,53.133141511116264
comb,test positivity rate,orig-pmmov_norm,-5,212.70813119307616
comb,test positivity rate,pmmov_norm,-5,-56.92667207449813
comb,hospital admissions,orig-pmmov_norm,-5,248.8515943716065
comb,hospital admissions,pmmov_norm,-5,-68.475674731504
comb,Cook County beds in use,orig-pmmov_norm,-5,229.85723692748832
comb,Cook County beds in use,pmmov_norm,-5,-85.25618882740366
comb,positive tests,orig-only_bcov_norm,-5,137.42488996344048
comb,positive tests,only_bcov_norm,-5,37.71565595167499
comb,test positivity rate,orig-only_bcov_norm,-5,142.00819598436925
comb,test positivity rate,only_bcov_norm,-5,-63.01886066615964
comb,hospital admissions,orig-only_bcov_norm,-5,141.32913960353
comb,hospital admissions,only_bcov_norm,-5,-103.46470544139515
comb,Cook County beds in use,orig-only_bcov_norm,-5,129.75075239030508
comb,Cook County beds in use,only_bcov_norm,-5,-114.25680147894093
comb,positive tests,orig-bcov_flow_norm,-5,163.68789994834617
comb,positive tests,bcov_flow_norm,-5,30.12394976003577
comb,test positivity rate,orig-bcov_flow_norm,-5,154.5452081149176
comb,test positivity rate,bcov_flow_norm,-5,-70.57129038641654
comb,hospital admissions,orig-bcov_flow_norm,-5,161.13987777323695
comb,hospital admissions,bcov_flow_norm,-5,-127.8939526283873
comb,Cook County beds in use,orig-bcov_flow_norm,-5,148.3356966548621
comb,Cook County beds in use,bcov_flow_norm,-5,-133.50906933851024
comb,positive tests,orig-pmmov_bcov_norm,-5,368.2678001746321
comb,positive tests,pmmov_bcov_norm,-5,32.79830256711023
comb,test positivity rate,orig-pmmov_bcov_norm,-5,363.1390953885246
comb,test positivity rate,pmmov_bcov_norm,-5,-71.98046656108966
comb,hospital admissions,orig-pmmov_bcov_norm,-5,380.82053562238775
comb,hospital admissions,pmmov_bcov_norm,-5,-101.46881677536919
comb,Cook County beds in use,orig-pmmov_bcov_norm,-5,374.54493845277256
comb,Cook County beds in use,pmmov_bcov_norm,-5,-113.53656394167388
comb,positive tests,orig-pmmov_bcov_flow_norm,-5,388.6666047331363
comb,positive tests,pmmov_bcov_flow_norm,-5,18.670763330530576
comb,test positivity rate,orig-pmmov_bcov_flow_norm,-5,379.0440255659089
comb,test positivity rate,pmmov_bcov_flow_norm,-5,-87.9722835951003
comb,hospital admissions,orig-pmmov_bcov_flow_norm,-5,398.0438974196661
comb,hospital admissions,pmmov_bcov_flow_norm,-5,-128.18361890396704
comb,Cook County beds in use,orig-pmmov_bcov_flow_norm,-5,391.48339967399636
comb,Cook County beds in use,pmmov_bcov_flow_norm,-5,-137.9001430729628
comb,positive tests,orig-raw_data,-4,238.7027885528271
comb,positive tests,raw_data,-4,83.22379387736328
comb,test positivity rate,orig-raw_data,-4,250.42958745821085
comb,test positivity rate,raw_data,-4,-16.5812436986306
comb,hospital admissions,orig-raw_data,-4,251.97211064277604
comb,hospital admissions,raw_data,-4,-58.199741977042436
comb,Cook County beds in use,orig-raw_data,-4,238.20734187272137
comb,Cook County beds in use,raw_data,-4,-65.15580369042289
comb,positive tests,orig-only_flow_norm,-4,261.8884661333897
comb,positive tests,only_flow_norm,-4,69.05179064524839
comb,test positivity rate,orig-only_flow_norm,-4,265.1509626794017
comb,test positivity rate,only_flow_norm,-4,-30.867372326183727
comb,hospital admissions,orig-only_flow_norm,-4,270.5998265114279
comb,hospital admissions,only_flow_norm,-4,-89.98740461238481
comb,Cook County beds in use,orig-only_flow_norm,-4,257.14013070847756
comb,Cook County beds in use,only_flow_norm,-4,-93.09304243146983
comb,positive tests,orig-pmmov_norm,-4,208.74960724031496
comb,positive tests,pmmov_norm,-4,45.23558798982765
comb,test positivity rate,orig-pmmov_norm,-4,208.9353487155114
comb,test positivity rate,pmmov_norm,-4,-60.86912508310559
comb,hospital admissions,orig-pmmov_norm,-4,246.18884067269846
comb,hospital admissions,pmmov_norm,-4,-74.30298450340604
comb,Cook County beds in use,orig-pmmov_norm,-4,226.9313787857016
comb,Cook County beds in use,pmmov_norm,-4,-90.11993793829299
comb,positive tests,orig-only_bcov_norm,-4,135.81223403096942
comb,positive tests,only_bcov_norm,-4,31.792715169726307
comb,test positivity rate,orig-only_bcov_norm,-4,139.85848264857776
comb,test positivity rate,only_bcov_norm,-4,-65.33889792206196
comb,hospital admissions,orig-only_bcov_norm,-4,137.3022551431743
comb,hospital admissions,only_bcov_norm,-4,-111.43425718037622
comb,Cook County beds in use,orig-only_bcov_norm,-4,127.0861369740154
comb,Cook County beds in use,only_bcov_norm,-4,-119.45797833496442
comb,positive tests,orig-bcov_flow_norm,-4,159.78424240994684
comb,positive tests,bcov_flow_norm,-4,25.646446590122764
comb,test positivity rate,orig-bcov_flow_norm,-4,151.35643475235634
comb,test positivity rate,bcov_flow_norm,-4,-71.70581090876806
comb,hospital admissions,orig-bcov_flow_norm,-4,155.65843022289704
comb,hospital admissions,bcov_flow_norm,-4,-132.9712360638306
comb,Cook County beds in use,orig-bcov_flow_norm,-4,144.90339102123443
comb,Cook County beds in use,bcov_flow_norm,-4,-137.3891033075912
comb,positive tests,orig-pmmov_bcov_norm,-4,365.4572546415822
comb,positive tests,pmmov_bcov_norm,-4,25.60655924673972
comb,test positivity rate,orig-pmmov_bcov_norm,-4,360.11437265890584
comb,test positivity rate,pmmov_bcov_norm,-4,-76.03594855503286
comb,hospital admissions,orig-pmmov_bcov_norm,-4,378.11059836007985
comb,hospital admissions,pmmov_bcov_norm,-4,-109.45696375848036
comb,Cook County beds in use,orig-pmmov_bcov_norm,-4,371.9814981058092
comb,Cook County beds in use,pmmov_bcov_norm,-4,-119.19330793716074
comb,positive tests,orig-pmmov_bcov_flow_norm,-4,385.19599223634873
comb,positive tests,pmmov_bcov_flow_norm,-4,12.927607224566941
comb,test positivity rate,orig-pmmov_bcov_flow_norm,-4,375.8025937740747
comb,test positivity rate,pmmov_bcov_flow_norm,-4,-90.95560805554203
comb,hospital admissions,orig-pmmov_bcov_flow_norm,-4,394.91604420077533
comb,hospital admissions,pmmov_bcov_flow_norm,-4,-133.28726753166336
comb,Cook County beds in use,orig-pmmov_bcov_flow_norm,-4,388.7769134790435
comb,Cook County beds in use,pmmov_bcov_flow_norm,-4,-142.6047477369367
comb,positive tests,orig-raw_data,-3,239.8285912087792
comb,positive tests,raw_data,-3,81.13518744879502
comb,test positivity rate,orig-raw_data,-3,252.4798242530007
comb,test positivity rate,raw_data,-3,-20.496717202516834
comb,hospital admissions,orig-raw_data,-3,254.1367255474405
comb,hospital admissions,raw_data,-3,-58.17987201462688
comb,Cook County beds in use,orig-raw_data,-3,239.07783018399311
comb,Cook County beds in use,raw_data,-3,-66.39854657265698
comb,positive tests,orig-only_flow_norm,-3,261.1736811403776
comb,positive tests,only_flow_norm,-3,69.20826078582354
comb,test positivity rate,orig-only_flow_norm,-3,265.7364913556576
comb,test positivity rate,only_flow_norm,-3,-32.83501306791436
comb,hospital admissions,orig-only_flow_norm,-3,272.2834183305112
comb,hospital admissions,only_flow_norm,-3,-89.32900860855466
comb,Cook County beds in use,orig-only_flow_norm,-3,257.47638785261455
comb,Cook County beds in use,only_flow_norm,-3,-93.3175214888671
comb,positive tests,orig-pmmov_norm,-3,200.88136540949682
comb,positive tests,pmmov_norm,-3,37.462032766160064
comb,test positivity rate,orig-pmmov_norm,-3,208.76890050846117
comb,test positivity rate,pmmov_norm,-3,-66.35292769278465
comb,hospital admissions,orig-pmmov_norm,-3,244.32521223414165
comb,hospital admissions,pmmov_norm,-3,-76.37834193620756
comb,Cook County beds in use,orig-pmmov_norm,-3,224.5883070041525
comb,Cook County beds in use,pmmov_norm,-3,-93.65470606266649
comb,positive tests,orig-only_bcov_norm,-3,131.64320791773707
comb,positive tests,only_bcov_norm,-3,26.72584916572032
comb,test positivity rate,orig-only_bcov_norm,-3,141.0949460754506
comb,test positivity rate,only_bcov_norm,-3,-69.40624731881417
comb,hospital admissions,orig-only_bcov_norm,-3,138.17477225130943
comb,hospital admissions,only_bcov_norm,-3,-112.06463098665529
comb,Cook County beds in use,orig-only_bcov_norm,-3,125.32328606763474
comb,Cook County beds in use,only_bcov_norm,-3,-123.00265879572089
comb,positive tests,orig-bcov_flow_norm,-3,153.247439907022
comb,positive tests,bcov_flow_norm,-3,22.463159381991886
comb,test positivity rate,orig-bcov_flow_norm,-3,150.3008424158195
comb,test positivity rate,bcov_flow_norm,-3,-74.23270098688306
comb,hospital admissions,orig-bcov_flow_norm,-3,155.94313792904836
comb,hospital admissions,bcov_flow_norm,-3,-132.98158679744677
comb,Cook County beds in use,orig-bcov_flow_norm,-3,142.50144628913
comb,Cook County beds in use,bcov_flow_norm,-3,-139.91263132830522
